tag,logi_ms,list_ms,stat_ms,sele_ms,fetc_ms,fet2_ms,stor_ms,dele_ms,expu_ms,appe_ms,logo_ms,samples
25,11997.0,199.0,277.0,269.0,82.0,77.0,100.0,109.0,88.0,176.0,0.0,1
50,5.3,238.7,235.2,221.8,164.5,152.5,211.7,251.8,220.3,534.3,0.0,6
100,6.8,434.2,469.0,420.7,287.5,254.3,390.2,432.0,396.5,1260.8,0.0,6
200,29.0,1035.2,1149.0,1056.3,715.8,632.7,973.2,1096.7,1028.7,3696.6,1.0,7
400,31.5,3650.7,3692.6,3547.3,3049.3,3058.1,3879.7,3862.0,3891.7,7403.4,1.8,7
